sku,name,category,brand,list_price_vnd,stock,n_variants,attributes
SKU-AP-X-2024,Máy lọc không khí AirPure X (bản 2024) — NGỪNG BÁN,gia-dung/may-loc-khong-khi,AirPure,4290000,0,0,"{""room_area_m2"": 22, ""discontinued"": true, ""successor_sku"": ""SKU-AP-X"", ""warranty_months"": 24}"
SKU-SN-RUN1-OLD,Giày chạy bộ RunLite 1 (2025) — NGỪNG BÁN,thoi-trang/giay,RunLite,1090000,0,0,"{""discontinued"": true, ""successor_sku"": ""SKU-SN-RUN1""}"
SKU-BDL-AIR,Combo AirPure Y + 2 màng lọc,gia-dung/combo,AirPure,6390000,6,0,"{""bundle_of"": [""SKU-AP-Y"", ""SKU-AP-FLT-X"", ""SKU-AP-FLT-X""], ""saving_vnd"": 190000, ""warranty_months"": 24}"
SKU-BDL-MOM,Combo Spectra S1 + máy hâm sữa Fatz + 50 túi trữ sữa,me-be,Spectra,4790000,4,0,"{""bundle_of"": [""SKU-MB-PUMP1"", ""SKU-MB-MON"", ""SKU-MB-BAG""], ""saving_vnd"": 109000, ""warranty_months"": 12}"
SKU-AP-FLT-X,Màng lọc thay thế AirPure X/Y,gia-dung/phu-kien,AirPure,690000,30,0,{}
SKU-AP-FLT-P,Màng lọc thay thế AirPure Pro,gia-dung/phu-kien,AirPure,990000,60,0,{}
SKU-XM-FLT,Màng lọc thay thế Xiaomi Smart 4,gia-dung/phu-kien,Xiaomi,590000,60,0,{}
SKU-WF-CORE,Bộ lõi lọc thay thế RO 1-2-3,gia-dung/phu-kien,Karofi,390000,60,0,{}
SKU-SN-SOCK,Tất thể thao RunLite (3 đôi),thoi-trang/phu-kien,RunLite,149000,30,0,{}
SKU-MB-BAG,Túi trữ sữa Sunmum 50 túi,me-be,Sunmum,119000,60,0,{}
